locus_tag	ftype	length_bp	gene	EC_number	COG	product
LFT_00449	CDS	1026	adhT	1.1.1.1		Alcohol dehydrogenase
LFT_00450	CDS	672				hypothetical protein
LFT_00451	CDS	489	lrp		COG1522	Leucine-responsive regulatory protein
LFT_00452	CDS	1671	leuA_1	2.3.3.13	COG0119	2-isopropylmalate synthase
LFT_00453	CDS	969				hypothetical protein
LFT_00454	CDS	177				hypothetical protein
LFT_00455	CDS	408				hypothetical protein
LFT_00456	CDS	786				IS3 family transposase ISVpa4
LFT_00457	CDS	291				hypothetical protein
LFT_00458	CDS	291	ybaQ		COG3093	putative HTH-type transcriptional regulator YbaQ
LFT_00459	CDS	288				hypothetical protein
LFT_00460	CDS	1737				hypothetical protein
LFT_00461	tmRNA	359	ssrA			transfer-messenger RNA, SsrA
LFT_00462	CDS	492	smpB		COG0691	SsrA-binding protein
LFT_00463	CDS	417	pepA_1	3.4.11.1	COG0260	Cytosol aminopeptidase
LFT_00464	CDS	1170	pepA_2	3.4.11.1	COG0260	Cytosol aminopeptidase
LFT_00465	CDS	726	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
LFT_00466	CDS	312				hypothetical protein
LFT_00467	CDS	318	queE	4.3.99.3	COG0602	7-carboxy-7-deazaguanine synthase
LFT_00468	CDS	816	cpoB_2			Cell division coordinator CpoB
LFT_00469	CDS	2451	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
LFT_00470	CDS	2457	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
LFT_00471	CDS	1164	dnaN			Beta sliding clamp
LFT_00472	CDS	1398	dnaA		COG0593	Chromosomal replication initiator protein DnaA
LFT_00473	CDS	2316	iolD	3.7.1.22		3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase
LFT_00474	CDS	1020	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
LFT_00475	CDS	654	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
LFT_00476	CDS	837				hypothetical protein
LFT_00477	CDS	1599	leuA_2	2.3.3.13	COG0119	2-isopropylmalate synthase
LFT_00478	CDS	1113	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
LFT_00479	CDS	1050	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
LFT_00480	CDS	951	nadA	2.5.1.72	COG0379	Quinolinate synthase A
LFT_00481	CDS	237				hypothetical protein
LFT_00482	CDS	513				hypothetical protein
LFT_00483	CDS	582				hypothetical protein
LFT_00484	CDS	426				hypothetical protein
LFT_00485	CDS	1056				hypothetical protein
LFT_00486	CDS	1137				hypothetical protein
LFT_00487	CDS	576				hypothetical protein
LFT_00488	CDS	573	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
LFT_00489	CDS	1689	hpnR	2.1.1.-	COG1032	Hopanoid C-3 methylase
LFT_00490	CDS	1179			COG1850	Ribulose bisphosphate carboxylase-like protein
LFT_00491	CDS	852				hypothetical protein
LFT_00492	CDS	1152				hypothetical protein
LFT_00493	CDS	966				hypothetical protein
LFT_00494	CDS	615	thpR	3.1.4.58		RNA 2',3'-cyclic phosphodiesterase
LFT_00495	CDS	1047	dipZ		COG0785	Protein DipZ
LFT_00496	CDS	417				hypothetical protein
LFT_00497	CDS	756				hypothetical protein
LFT_00498	CDS	900	pyrF			Orotidine 5'-phosphate decarboxylase
LFT_00499	CDS	555	def_1	3.5.1.88	COG0242	Peptide deformylase
LFT_00500	CDS	540	cobO	2.5.1.17		Corrinoid adenosyltransferase
LFT_00501	CDS	822		2.1.1.272	COG1010	Cobalt-factor III methyltransferase
LFT_00502	CDS	1137	cbiG	3.7.1.12	COG2073	Cobalt-precorrin-5A hydrolase
LFT_00503	CDS	618	cbiET_1		COG2241	Cobalamin biosynthesis bifunctional protein CbiET
LFT_00504	CDS	672	cbiET_2		COG2241	Cobalamin biosynthesis bifunctional protein CbiET
LFT_00505	CDS	1128	cbiD	2.1.1.195	COG1903	Cobalt-precorrin-5B C(1)-methyltransferase
LFT_00506	CDS	834				hypothetical protein
LFT_00507	CDS	456	mscL		COG1970	Large-conductance mechanosensitive channel
LFT_00508	CDS	450				IS1380 family transposase ISLsp3
LFT_00509	CDS	822				IS1380 family transposase ISLsp3
LFT_00510	CDS	453	rplI		COG0359	50S ribosomal protein L9
LFT_00511	CDS	1536	yidC			Membrane protein insertase YidC
LFT_00512	CDS	1338	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
LFT_00513	CDS	735	mnmG_1		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
LFT_00514	CDS	1086	mnmG_2		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
LFT_00515	CDS	681	rsmG	2.1.1.170		Ribosomal RNA small subunit methyltransferase G
LFT_00516	CDS	765	parA			Chromosome partitioning protein ParA
LFT_00517	CDS	855	spo0J		COG1475	Stage 0 sporulation protein J
LFT_00518	CDS	399				hypothetical protein
LFT_00519	CDS	1104	mnmA	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
LFT_00520	CDS	798	dinG_2	3.1.-.-		3'-5' exonuclease DinG
LFT_00521	CDS	1131	rnc_1	3.1.26.3		Ribonuclease 3
LFT_00522	CDS	138				hypothetical protein
LFT_00523	CDS	234	tusA_2		COG0425	Sulfur carrier protein TusA
LFT_00524	CDS	330	nqrF	7.2.1.1		Na(+)-translocating NADH-quinone reductase subunit F
LFT_00525	CDS	447				hypothetical protein
LFT_00526	CDS	486				hypothetical protein
LFT_00527	CDS	897	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
LFT_00528	CDS	306				hypothetical protein
LFT_00529	CDS	1563	ppcA	4.1.1.31		Phosphoenolpyruvate carboxylase
LFT_00530	CDS	543				hypothetical protein
LFT_00531	CDS	816	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
LFT_00532	CDS	732				hypothetical protein
LFT_00533	CDS	321				hypothetical protein
LFT_00534	CDS	993	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
LFT_00535	CDS	1281				hypothetical protein
LFT_00536	CDS	1023	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
LFT_00537	CDS	948	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
LFT_00538	CDS	540	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
LFT_00539	CDS	2931	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
LFT_00540	tRNA	75				tRNA-Val(cac)
LFT_00541	CDS	726				hypothetical protein
LFT_00542	CDS	876	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
LFT_00543	CDS	1032				hypothetical protein
LFT_00544	CDS	1068	amgK	2.7.1.221	COG3178	N-acetylmuramate/N-acetylglucosamine kinase
LFT_00545	CDS	723				hypothetical protein
LFT_00546	CDS	1269	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
LFT_00547	CDS	639	engB		COG0218	putative GTP-binding protein EngB
LFT_00548	CDS	1023	surA	5.2.1.8		Chaperone SurA
LFT_00549	CDS	975	prsA	5.2.1.8		Foldase protein PrsA
LFT_00550	CDS	870				hypothetical protein
LFT_00551	CDS	3465	mfd	3.6.4.-		Transcription-repair-coupling factor
LFT_00552	CDS	540		2.7.7.70	COG2870	D-beta-D-heptose 1-phosphate adenylyltransferase
LFT_00553	CDS	612	gmhA	5.3.1.28		Phosphoheptose isomerase
LFT_00554	CDS	1314	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
LFT_00555	CDS	213				hypothetical protein
LFT_00556	CDS	588	dnaJ_1			Chaperone protein DnaJ
LFT_00557	CDS	1239		1.2.7.10	COG0674	Oxalate oxidoreductase subunit alpha
LFT_00558	CDS	867		1.2.7.10	COG1013	Oxalate oxidoreductase subunit beta
LFT_00559	CDS	699				hypothetical protein
LFT_00560	CDS	306				hypothetical protein
LFT_00561	CDS	285				hypothetical protein
LFT_00562	CDS	1221				hypothetical protein
LFT_00563	CDS	891				hypothetical protein
LFT_00564	CDS	699				hypothetical protein
LFT_00565	CDS	213				hypothetical protein
LFT_00566	CDS	231				hypothetical protein
LFT_00567	CDS	339				hypothetical protein
LFT_00568	CDS	402				hypothetical protein
LFT_00569	CDS	528				hypothetical protein
LFT_00570	CDS	1425	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
LFT_00571	CDS	546				hypothetical protein
LFT_00572	CDS	1542	nadB	1.4.3.16	COG0029	L-aspartate oxidase
LFT_00573	CDS	855	cbpA		COG2214	Curved DNA-binding protein
LFT_00574	CDS	327				hypothetical protein
LFT_00575	CDS	2601	clpB		COG0542	Chaperone protein ClpB
LFT_00576	CDS	537				hypothetical protein
LFT_00577	CDS	276	hup_1		COG0776	DNA-binding protein HU
LFT_00578	tRNA	75				tRNA-Val(gac)
LFT_00579	CDS	3012	czcA_2			Cobalt-zinc-cadmium resistance protein CzcA
LFT_00580	CDS	1077	cusB_2			Cation efflux system protein CusB
LFT_00581	CDS	696				hypothetical protein
LFT_00582	CDS	1146		3.4.11.18		Methionine aminopeptidase 1, mitochondrial
LFT_00583	CDS	663	trmR_1	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
LFT_00584	CDS	309	nasE	1.7.1.4	COG2146	Assimilatory nitrite reductase [NAD(P)H] small subunit
LFT_00585	CDS	201				hypothetical protein
LFT_00586	CDS	1260	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
LFT_00587	CDS	2154				hypothetical protein
LFT_00588	CDS	2094	amyA	3.2.1.1	COG1449	Alpha-amylase 1
LFT_00589	CDS	1005	galT	2.7.7.12	COG1085	Galactose-1-phosphate uridylyltransferase
LFT_00590	CDS	1383				hypothetical protein
LFT_00591	CDS	1590		2.4.1.18	COG1543	1,4-alpha-glucan branching enzyme
LFT_00592	CDS	1092	macA		COG0845	Macrolide export protein MacA
LFT_00593	CDS	3174	czcA_3			Cobalt-zinc-cadmium resistance protein CzcA
LFT_00594	CDS	1005	gcvT_3	2.1.2.10		Aminomethyltransferase
LFT_00595	CDS	1368	atoC_4		COG2204	Regulatory protein AtoC
LFT_00596	CDS	777				hypothetical protein
LFT_00597	CDS	438				hypothetical protein
LFT_00598	CDS	1473				hypothetical protein
LFT_00599	CDS	933	trxB	1.8.1.9	COG0492	Thioredoxin reductase
LFT_00600	CDS	507				hypothetical protein
LFT_00601	CDS	1212	vgb_1	4.2.99.-		Virginiamycin B lyase
LFT_00602	CDS	2070				hypothetical protein
LFT_00603	CDS	648	estB	3.1.1.1	COG0400	Carboxylesterase 2
LFT_00604	CDS	432				hypothetical protein
LFT_00605	CDS	534	def_2	3.5.1.88	COG0242	Peptide deformylase
LFT_00606	CDS	960	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
LFT_00607	CDS	888	htpX	3.4.24.-	COG0501	Protease HtpX 
LFT_00608	CDS	696	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
LFT_00609	CDS	450				hypothetical protein
LFT_00610	CDS	1032	mreB		COG1077	Cell shape-determining protein MreB
LFT_00611	CDS	846				hypothetical protein
LFT_00612	CDS	495				hypothetical protein
LFT_00613	CDS	1935	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
LFT_00614	CDS	1092	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
LFT_00615	CDS	1581	rng	3.1.26.-	COG1530	Ribonuclease G
LFT_00616	CDS	843				hypothetical protein
LFT_00617	CDS	399	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
LFT_00618	CDS	456				hypothetical protein
LFT_00619	CDS	255	fdx_2		COG1145	Ferredoxin
LFT_00620	CDS	1881				hypothetical protein
LFT_00621	CDS	456	rplM			50S ribosomal protein L13
LFT_00622	CDS	408	rpsI		COG0103	30S ribosomal protein S9
LFT_00623	CDS	975	argC	1.2.1.38		N-acetyl-gamma-glutamyl-phosphate reductase
LFT_00624	CDS	1215	argJ		COG1364	Arginine biosynthesis bifunctional protein ArgJ
LFT_00625	CDS	780	rpsB		COG0052	30S ribosomal protein S2
LFT_00626	CDS	597	tsf			Elongation factor Ts
LFT_00627	CDS	711	pyrH	2.7.4.22	COG0528	Uridylate kinase
LFT_00628	CDS	555	frr		COG0233	Ribosome-recycling factor
LFT_00629	CDS	1221	alr1	5.1.1.1	COG0787	Alanine racemase 1
LFT_00630	CDS	768	mlaE_1		COG0767	Intermembrane phospholipid transport system permease protein MlaE
LFT_00631	CDS	774	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
LFT_00632	CDS	1557				hypothetical protein
LFT_00633	CDS	1539	ccsB			Cytochrome c biogenesis protein CcsB
LFT_00634	CDS	852	ccsA_1			Cytochrome c biogenesis protein CcsA
LFT_00635	CDS	603	resA_2			Thiol-disulfide oxidoreductase ResA
LFT_00636	CDS	516	resA_3			Thiol-disulfide oxidoreductase ResA
LFT_00637	CDS	750				hypothetical protein
LFT_00638	CDS	1251				hypothetical protein
LFT_00639	CDS	1113				hypothetical protein
LFT_00640	CDS	1986	priA_1	3.6.4.-		primosomal protein N'
LFT_00641	CDS	468	nrdR		COG1327	Transcriptional repressor NrdR
LFT_00642	CDS	1245	glyA	2.1.2.1		Serine hydroxymethyltransferase
LFT_00643	CDS	477	rpiB	5.3.1.6	COG0698	Ribose-5-phosphate isomerase B
LFT_00644	CDS	219				hypothetical protein
LFT_00645	CDS	690	tmk_1	2.7.4.9		Thymidylate kinase
LFT_00646	CDS	654	tmk_2	2.7.4.9	COG0125	Thymidylate kinase
LFT_00647	CDS	1557	gppA	3.6.1.40		Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
LFT_00648	CDS	879				hypothetical protein
LFT_00649	CDS	510	ubiE_1	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
LFT_00650	CDS	234	ubiE_2	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
LFT_00651	CDS	1593				hypothetical protein
LFT_00652	CDS	513				hypothetical protein
LFT_00653	CDS	864	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
LFT_00654	CDS	117				hypothetical protein
LFT_00655	CDS	189				hypothetical protein
LFT_00656	CDS	1380	yajR		COG0477	Inner membrane transport protein YajR
LFT_00657	CDS	1044				hypothetical protein
LFT_00658	CDS	1254	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
LFT_00659	CDS	930	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase
LFT_00660	CDS	1227	argG	6.3.4.5	COG0137	Argininosuccinate synthase
LFT_00661	CDS	1326	argH	4.3.2.1	COG0165	Argininosuccinate lyase
LFT_00662	CDS	1245	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
LFT_00663	CDS	498				hypothetical protein
LFT_00664	CDS	888	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
LFT_00665	CDS	774	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
LFT_00666	CDS	804				hypothetical protein
LFT_00667	CDS	804	flgG_1		COG4786	Flagellar basal-body rod protein FlgG
LFT_00668	CDS	786	flgG_2		COG4786	Flagellar basal-body rod protein FlgG
LFT_00669	CDS	639				hypothetical protein
LFT_00670	CDS	627				hypothetical protein
LFT_00671	CDS	1065	flgI			Flagellar P-ring protein
LFT_00672	CDS	366				hypothetical protein
LFT_00673	CDS	861	hag_1		COG1344	Flagellin
LFT_00674	CDS	360				hypothetical protein
LFT_00675	CDS	495				hypothetical protein
LFT_00676	CDS	1686	flgK		COG1256	Flagellar hook-associated protein 1
LFT_00677	CDS	939				hypothetical protein
LFT_00678	CDS	243	csrA			Translational regulator CsrA
LFT_00679	CDS	432	fliW		COG1699	Flagellar assembly factor FliW
LFT_00680	CDS	828	hag_2		COG1344	Flagellin
LFT_00681	CDS	1494	fliD		COG1345	B-type flagellar hook-associated protein 2
LFT_00682	CDS	450	fliS		COG1516	Flagellar secretion chaperone FliS
LFT_00683	CDS	345				hypothetical protein
LFT_00684	CDS	981				hypothetical protein
LFT_00685	CDS	2343	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
LFT_00686	CDS	1560				hypothetical protein
LFT_00687	CDS	1800				hypothetical protein
LFT_00688	CDS	1788				hypothetical protein
LFT_00689	CDS	654				hypothetical protein
LFT_00690	CDS	2892				hypothetical protein
LFT_00691	CDS	420				hypothetical protein
LFT_00692	CDS	207				hypothetical protein
LFT_00693	CDS	651				hypothetical protein
LFT_00694	CDS	549	ppa	3.6.1.1		Inorganic pyrophosphatase
LFT_00695	CDS	705	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
LFT_00696	CDS	1209	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
LFT_00697	CDS	1143	mdtA_2			Multidrug resistance protein MdtA
LFT_00698	CDS	1017	fliM		COG1868	Flagellar motor switch protein FliM
LFT_00699	CDS	1653	nifA			Nif-specific regulatory protein
LFT_00700	CDS	1200	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
LFT_00701	CDS	594				hypothetical protein
LFT_00702	CDS	1368				hypothetical protein
LFT_00703	CDS	3420				hypothetical protein
LFT_00704	CDS	345				hypothetical protein
LFT_00705	CDS	1227				hypothetical protein
LFT_00706	CDS	615				hypothetical protein
LFT_00707	CDS	2283				hypothetical protein
LFT_00708	CDS	1272	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
LFT_00709	CDS	1368			COG3039	IS5 family transposase ISLru1
LFT_00710	CDS	951				hypothetical protein
LFT_00711	CDS	2214				hypothetical protein
LFT_00712	CDS	1101	bcsZ	3.2.1.4	COG3405	Endoglucanase
LFT_00713	tRNA	74				tRNA-Gln(ctg)
LFT_00714	CDS	2271	mtgA_2	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
LFT_00715	CDS	378				hypothetical protein
LFT_00716	CDS	1470	bamB			Outer membrane protein assembly factor BamB
LFT_00717	CDS	744				hypothetical protein
LFT_00718	CDS	678				hypothetical protein
LFT_00719	CDS	714				hypothetical protein
LFT_00720	CDS	1674	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
LFT_00721	CDS	1572				hypothetical protein
LFT_00722	CDS	648				hypothetical protein
LFT_00723	CDS	1299	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
LFT_00724	CDS	315				hypothetical protein
LFT_00725	CDS	1161				hypothetical protein
LFT_00726	CDS	780	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
LFT_00727	CDS	339				hypothetical protein
LFT_00728	CDS	1119	pstS1			Phosphate-binding protein PstS1
LFT_00729	CDS	165				hypothetical protein
LFT_00730	CDS	1023	pstC		COG0573	Phosphate transport system permease protein PstC
LFT_00731	CDS	912				hypothetical protein
LFT_00732	CDS	753	pstB3	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
LFT_00733	CDS	654	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
LFT_00734	CDS	819	thyX	2.1.1.148	COG1351	Flavin-dependent thymidylate synthase
LFT_00735	CDS	1260				hypothetical protein
LFT_00736	CDS	1509	safD	1.2.1.73	COG1012	Sulfoacetaldehyde dehydrogenase
LFT_00737	CDS	159				hypothetical protein
LFT_00738	CDS	1008	fbp	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
LFT_00739	CDS	360				hypothetical protein
LFT_00740	CDS	453				hypothetical protein
LFT_00741	CDS	1017	hdaH	3.5.1.-		Histone deacetylase-like amidohydrolase
LFT_00742	CDS	555				hypothetical protein
LFT_00743	CDS	603	rho_1	3.6.4.-	COG1158	Transcription termination factor Rho
LFT_00744	CDS	705	rho_2	3.6.4.-	COG1158	Transcription termination factor Rho
LFT_00745	CDS	207	rpmE		COG0254	50S ribosomal protein L31
LFT_00746	CDS	1086	prfA		COG0216	Peptide chain release factor 1
LFT_00747	CDS	882	prmC	2.1.1.297		Release factor glutamine methyltransferase
LFT_00748	CDS	1329	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
LFT_00749	CDS	618	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
LFT_00750	CDS	1338	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
LFT_00751	CDS	1080	hisC2	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase 2
LFT_00752	CDS	633	hisB	4.2.1.19	COG0131	Imidazoleglycerol-phosphate dehydratase
LFT_00753	CDS	636	hisH	4.3.2.10		Imidazole glycerol phosphate synthase subunit HisH
LFT_00754	CDS	744	priA_2	5.3.1.16	COG0106	Phosphoribosyl isomerase A
LFT_00755	CDS	768	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
LFT_00756	CDS	702	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
LFT_00757	CDS	357			COG0537	putative HIT-like protein
LFT_00758	CDS	309	hup_2			DNA-binding protein HU
LFT_00759	CDS	198	rpsU		COG0828	30S ribosomal protein S21
LFT_00760	CDS	483	yqeY		COG1610	putative protein YqeY
LFT_00761	CDS	1386	dnaG	2.7.7.-		DNA primase
LFT_00762	CDS	1797	rpoD		COG0568	RNA polymerase sigma factor RpoD
LFT_00763	tRNA	75				tRNA-Met(cat)
LFT_00764	CDS	789				hypothetical protein
LFT_00765	CDS	405			COG0328	Bifunctional protein
LFT_00766	misc_RNA	371				RNaseP_bact_a
LFT_00767	CDS	1422				hypothetical protein
LFT_00768	CDS	333				hypothetical protein
LFT_00769	CDS	618				hypothetical protein
LFT_00770	CDS	897				hypothetical protein
LFT_00771	CDS	459	hspA		COG0071	Spore protein SP21
LFT_00772	CDS	1932	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
LFT_00773	CDS	897				hypothetical protein
LFT_00774	CDS	738	rph	2.7.7.56	COG0689	Ribonuclease PH
LFT_00775	CDS	597		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
LFT_00776	CDS	1029	nagZ	3.2.1.52		Beta-hexosaminidase
LFT_00777	CDS	945	murI	5.1.1.3		Glutamate racemase
LFT_00778	CDS	720	puuD	3.5.1.94	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
LFT_00779	CDS	1335	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
LFT_00780	CDS	99				hypothetical protein
LFT_00781	CDS	498				hypothetical protein
LFT_00782	CDS	672	gpmA_1	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
LFT_00783	CDS	951	lipA	2.8.1.8	COG0320	Lipoyl synthase
LFT_00784	CDS	1242		3.1.4.-	COG2206	Cyclic di-GMP phosphodiesterase
LFT_00785	CDS	2145	glgX	3.2.1.-	COG1523	Glycogen operon protein GlgX 
LFT_00786	CDS	243				hypothetical protein
LFT_00787	CDS	1263				putative MFS-type transporter
LFT_00788	CDS	873				hypothetical protein
LFT_00789	CDS	285				hypothetical protein
LFT_00790	CDS	1197				hypothetical protein
LFT_00791	CDS	963				hypothetical protein
LFT_00792	CDS	720				hypothetical protein
LFT_00793	CDS	1101				hypothetical protein
LFT_00794	CDS	567				hypothetical protein
LFT_00795	CDS	1002				hypothetical protein
LFT_00796	CDS	168				hypothetical protein
LFT_00797	CDS	1035				hypothetical protein
LFT_00798	CDS	702				hypothetical protein
LFT_00799	CDS	282				hypothetical protein
LFT_00800	CDS	342				hypothetical protein
LFT_00801	CDS	93				hypothetical protein
LFT_00802	CDS	696				hypothetical protein
LFT_00803	CDS	288				hypothetical protein
LFT_00804	CDS	225				hypothetical protein
LFT_00805	CDS	1218				IS256 family transposase ISPeth3
LFT_00806	CDS	417				hypothetical protein
LFT_00807	CDS	357				hypothetical protein
LFT_00808	CDS	441				hypothetical protein
LFT_00809	CDS	255				hypothetical protein
LFT_00810	CDS	279				hypothetical protein
LFT_00811	CDS	471		3.1.-.-		Ribonuclease VapC46
LFT_00812	CDS	177				hypothetical protein
LFT_00813	CDS	489				hypothetical protein
LFT_00814	CDS	4875				hypothetical protein
LFT_00815	CDS	906				hypothetical protein
LFT_00816	CDS	984	xerC_2			Tyrosine recombinase XerC
LFT_00817	tRNA	87				tRNA-Leu(taa)
LFT_00818	CDS	582				hypothetical protein
LFT_00819	CDS	1080				hypothetical protein
LFT_00820	CDS	1272				hypothetical protein
LFT_00821	CDS	678			COG1842	Phage shock protein A 
LFT_00822	CDS	657				hypothetical protein
LFT_00823	CDS	711				hypothetical protein
LFT_00824	CDS	693	gph_2	3.1.3.18	COG0546	Phosphoglycolate phosphatase
LFT_00825	tRNA	76				tRNA-Glu(ctc)
LFT_00826	CDS	447				hypothetical protein
LFT_00827	CDS	456				hypothetical protein
LFT_00828	CDS	1611				hypothetical protein
LFT_00829	CDS	960	ldcA	3.4.17.13	COG1619	Murein tetrapeptide carboxypeptidase
LFT_00830	CDS	270				hypothetical protein
LFT_00831	CDS	627	soj	3.6.-.-	COG1192	Chromosome-partitioning ATPase Soj
LFT_00832	CDS	756	crnA	3.5.2.10		Creatinine amidohydrolase
LFT_00833	CDS	963				hypothetical protein
LFT_00834	CDS	1476	hpnE	1.17.8.1	COG2907	Hydroxysqualene dehydroxylase
LFT_00835	CDS	954				hypothetical protein
LFT_00836	CDS	1059	amiE	3.5.1.28		N-acetylmuramyl-L-alanine amidase
LFT_00837	CDS	1458	tldD	3.4.-.-	COG0312	Metalloprotease TldD
LFT_00838	CDS	927	pmbA_1	3.4.-.-	COG0312	Metalloprotease PmbA
LFT_00839	CDS	435	pmbA_2	3.4.-.-	COG0312	Metalloprotease PmbA
LFT_00840	CDS	645				hypothetical protein
LFT_00841	CDS	744				hypothetical protein
LFT_00842	CDS	1386	radA	3.6.4.-	COG1066	DNA repair protein RadA
LFT_00843	CDS	513				hypothetical protein
LFT_00844	CDS	615				hypothetical protein
LFT_00845	CDS	237				hypothetical protein
LFT_00846	CDS	300	tatB			Sec-independent protein translocase protein TatB
LFT_00847	CDS	759	tatC		COG0805	Sec-independent protein translocase protein TatC
LFT_00848	CDS	858	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
LFT_00849	CDS	621	fhs_1	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
LFT_00850	CDS	1092	fhs_2	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
LFT_00851	CDS	1929				hypothetical protein
LFT_00852	CDS	795	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
LFT_00853	CDS	864				hypothetical protein
LFT_00854	CDS	1182	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
LFT_00855	CDS	1065	mmpA	3.4.24.-	COG0750	Metalloprotease MmpA
LFT_00856	CDS	1134	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
LFT_00857	CDS	1269	proS	6.1.1.15	COG0442	Proline--tRNA ligase
LFT_00858	CDS	495				hypothetical protein
LFT_00859	CDS	183	rpmF		COG0333	50S ribosomal protein L32
LFT_00860	CDS	996	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
LFT_00861	CDS	1026	fabH_2	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
LFT_00862	CDS	945	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
LFT_00863	CDS	756	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
